Ca	hasIonization	Ionization2
Ca	hasMeltingPoint	MeltingPoint5
Ca	hasModulus	Modulus1
Ca	hasPeriod	Period4
Ca	hasRadius	Radius3
Ca	hasState	StateSolid
Ca	hasWeight	Weight4
Ca	type	NamedIndividual
Ca	type	alkalineEarthMetals
Ca	type	nonferrousLightMetals
Carbamate	hasBondType	double
Carbamate	hasBondType	single
Carbamate	type	CarbamateEster
Carbamate	type	NamedIndividual
CarbamateEster	subClassOf	GroupsContainingNitrogen
Carboalkoxy	hasBondType	double
Carboalkoxy	hasBondType	single
Carboalkoxy	type	Ester
Carboalkoxy	type	NamedIndividual
Carbodithio	hasBondType	double
Carbodithio	hasBondType	single
Carbodithio	type	DithiocarboxylicAcidEster
Carbodithio	type	NamedIndividual
CarbodithioicAcid	hasBondType	double
CarbodithioicAcid	hasBondType	single
CarbodithioicAcid	type	DithiocarboxylicAcid
CarbodithioicAcid	type	NamedIndividual
Carbonate	subClassOf	GroupsContainingOxygen
CarbonateEster	hasBondType	gouble
CarbonateEster	hasBondType	single
CarbonateEster	type	Carbonate
CarbonateEster	type	NamedIndividual
Carbonyl	hasBondType	double
Carbonyl	hasBondType	single
Carbonyl	type	Ketone
Carbonyl	type	NamedIndividual
CarbothioicOAcid	hasBondType	double
CarbothioicOAcid	hasBondType	single
CarbothioicOAcid	type	NamedIndividual
CarbothioicOAcid	type	ThiocarboxylicAcid
CarbothioicSAcid	hasBondType	double
CarbothioicSAcid	hasBondType	single
CarbothioicSAcid	type	NamedIndividual
CarbothioicSAcid	type	ThiocarboxylicAcid
Carboxamide	hasBondType	double
Carboxamide	hasBondType	single
Carboxamide	type	Amide
Carboxamide	type	NamedIndividual
Carboxyl	hasBondType	double
Carboxyl	hasBondType	single
Carboxyl	type	CarboxylicAcid
Carboxyl	type	NamedIndividual
Carboxylate	hasBondType	double
Carboxylate	hasBondType	single
Carboxylate	subClassOf	GroupsContainingOxygen
Carboxylate	type	Carboxylate
Carboxylate	type	NamedIndividual
CarboxylicAcid	subClassOf	GroupsContainingOxygen
CarboxylicAnhydride	hasBondType	Double
CarboxylicAnhydride	hasBondType	single
CarboxylicAnhydride	type	NamedIndividual
CarboxylicAnhydride	type	OrganicAcidAnhydride
Cd	hasAbundance	Abundance2
Cd	hasBoilingPoint	BoilingPoint5
Cd	hasConductivity	Conductivity1
Cd	hasDensity	Density2
Cd	hasElectronegativity	Electronegativity3
Cd	hasFamily	Family12
Cd	hasHardness	Hardness3
Cd	hasHeat	Heat3
Cd	hasIonization	Ionization2
Cd	hasMeltingPoint	MeltingPoint4
Cd	hasModulus	Modulus1
Cd	hasPeriod	Period5
Cd	hasRadius	Radius2
Cd	hasState	StateSolid
Cd	hasWeight	Weight5
Cd	type	NamedIndividual
Cd	type	nonferrousHeavyMetals
Cd	type	transitionMetals
Ce	hasAbundance	Abundance2
Ce	hasBoilingPoint	BoilingPoint7
Ce	hasConductivity	Conductivity1
Ce	hasDensity	Density2
Ce	hasElectronAffinity	ElectronAffinity2
Ce	hasElectronegativity	Electronegativity2
Ce	hasFamily	Family3
Ce	hasHardness	Hardness3
Ce	hasHeat	Heat2
Ce	hasIonization	Ionization2
Ce	hasMeltingPoint	MeltingPoint6
Ce	hasModulus	Modulus1
Ce	hasPeriod	Period6
Ce	hasState	StateSolid
Ce	hasWeight	Weight6
Ce	type	NamedIndividual
Ce	type	lanthanides
Ce	type	lightRareEarthMetals
Cf	hasAbundance	Abundance1
Cf	hasDensity	Density3
Cf	hasElectronegativity	Electronegativity2
Cf	hasFamily	Family3
Cf	hasIonization	Ionization2
Cf	hasMeltingPoint	MeltingPoint6
Cf	hasPeriod	Period7
Cf	hasState	StateSolid
Cf	hasWeight	Weight8
Cf	type	NamedIndividual
Cf	type	actinides
Cf	type	rareRadioactiveMetals
Cl	hasAbundance	Abundance3
Cl	hasBoilingPoint	BoilingPoint3
Cl	hasConductivity	Conductivity1
Cl	hasDensity	Density1
Cl	hasElectronAffinity	ElectronAffinity5
Cl	hasElectronegativity	Electronegativity4
Cl	hasFamily	Family17
Cl	hasHeat	Heat4
Cl	hasIonization	Ionization3
Cl	hasMeltingPoint	MeltingPoint1
Cl	hasModulus	Modulus1
Cl	hasPeriod	Period3
Cl	hasRadius	Radius2
Cl	hasState	StateGas
Cl	hasWeight	Weight3
Cl	isPartOf	AlkylmagnesiumHalide
Cl	isPartOf	chloro
Cl	isPartOf	halo
Cl	type	NamedIndividual
Cl	type	reactiveNonmetals
Cm	hasAbundance	Abundance1
Cm	hasBoilingPoint	BoilingPoint7
Cm	hasDensity	Density3
