drugid	smiles
DB01742	CC(=O)N1CCC[C@@H](C)C1
DB01744	CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2
DB01745	COC(=O)C1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1
DB01748	NS(=O)(=O)c1ccc(C(=O)NCc2ccccc2)cc1
DB01750	O=C(O)Cc1cccc2ccccc12
DB01751	O=C(O)Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1
DB01752	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
DB01753	NC(=O)[C@H]1C=[N+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1=O
DB01754	Cn1c(=O)c(O)c(O)c2ccccc21
DB01755	CC[C@H](C)[C@H](N)C(=O)NS(=O)(=O)NC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
DB01756	O=C(O)[C@H](O)[C@@H](O)COP(=O)(O)O
DB01758	N[C@@H](Cc1ccc(O)c(I)c1)C(=O)O
DB01760	COc1nccnc1C(C)C
DB01761	C[C@H](Nc1nccc(-c2c(-c3cccc(C(F)(F)F)c3)nc(C3CCNCC3)n2C)n1)c1ccccc1
DB01762	CC(=O)CC(=O)O
DB01763	N=C([S-])c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1
DB01764	CCN(CC)CCS(=O)(=O)[C@@H]1CCN2C(=O)c3coc(n3)CC(=O)C[C@H](O)/C=C(C)/C=C/CNC(=O)/C=C/[C@@H](C)[C@@H](C(C)C)OC(=O)[C@@H]12
DB01765	O=C(O)Cc1c2ccccc2n2c1[nH]c(=O)c1ccccc12
DB01766	N[C@@H](Cc1ccc2ccccc2c1)C(=O)O
DB01767	N=C(N)c1ccc2[nH]c(Cc3nc4ccccc4[nH]3)nc2c1
DB01768	CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)O[C@@](Oc2ccc3c(C)cc(=O)oc3c2)(C(=O)O)C[C@@H]1O
DB01771	NC(=[NH2+])c1cc2cc(-c3cccc(OC4CCCC4)c3[O-])[nH]c2cc1Cl
DB01772	Cn1cc(C2=C(c3cccc(NC[C@H](O)CO)c3)C(=O)NC2=O)c2cc(F)ccc21
DB01773	CN(CCCC1CCCCC1)C(=O)[C@H](CCC(=O)O)NC(=O)N(CC(=O)O)Cc1ccc(OP(=O)(O)O)cc1
DB01774	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O
DB01775	O=C(CO)CO
DB01776	Cc1cccc(O)c1
DB01777	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSCCCCC(=O)NCCc1c[nH]c2ccccc12
DB01778	Cn1c(=O)c2[nH]c(=N)[nH]c2n(C)c1=O
DB01779	O=P(O)(O)OC(CO)CO
DB01780	C=CC(C)(C)OC[C@H]1O[C@H](O[C@@H]2C3=C([C@H](C)COC(C)=O)C[C@H](O)[C@]3(C)/C=C3\[C@@H](COC)CC[C@H]3[C@@H](C)[C@H]2O)[C@H](O)[C@@H](OC(C)=O)[C@@H]1O
DB01782	O=C1c2ccccc2-c2n[nH]c3cccc1c23
DB01783	CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O
DB01784	NS(=O)(=O)c1ccc(F)cc1
DB01785	CC(C)=CCO[P@@](=O)(O)OP(=O)(O)O
DB01786	C[C@@H](N)C(=O)O
DB01788	C=C1C=NC(C)=NC1=N
DB01789	N[C@H]1C=C(CO)C[C@H](O)[C@H]1O
DB01790	Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CO[P@@](O)(=S)O[C@H]2[C@H]1O
DB01791	COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)cc1OC1CCCC1
DB01792	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2OP(=O)(O)O)[C@H]1O
DB01793	O=C1NC(=O)C(c2cccc(Cl)c2)=C1Nc1ccc(Cl)c(C(=O)O)c1
DB01795	OB(O)c1ccccc1
DB01796	O=C(O)c1cccnc1C(=O)O
DB01799	C[C@H](CO)CCO[P@@](=O)(O)OP(=O)(O)O
DB01800	O=[N+]([O-])c1ccc(O)c(OS(=O)(=O)O)c1
DB01803	C[N+](C)(C)CCS
DB01804	C=C[C@@H]([NH3+])C(=O)[O-]
DB01805	CC(C)OP(=O)(O)OC[C@H](N)C(=O)O
DB01806	CC[C@]1(O)Cc2cc3c(c(O)c2[C@@H](O[C@H]2C[C@H](N(C)C)[C@H](O[C@@H]4C[C@H](O)[C@@H](O[C@H]5CCC(=O)[C@@H](C)O5)[C@H](C)O4)[C@H](C)O2)C1)C(=O)c1c(O)cccc1C3=O
DB01807	CC(C)(C)c1cc(NC(=O)Nc2ccc(Cl)cc2)n(-c2ccccc2)n1
DB01808	N[C@@H](CS[AsH]O)C(=O)O
DB01809	Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1
DB01810	C[C@@H](/C=C/C(=O)C=O)NC(=O)[C@@H](Cc1ccccc1)NC(=O)OCc1ccccc1
DB01811	Oc1cc2cc[nH]c2cc1O
DB01812	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O
DB01813	Cc1[nH+]cc(COP(=O)(O)O)c(CN[C@@H](CCC(=O)O)C(=O)O)c1O
DB01814	CCCCCCCCCCCCC(=O)O[C@@H](CCCCCCCCCCCC)CC(=O)O
DB01815	N[C@@H](CCCCNC(C(=O)O)C(=O)O)C(=O)O
DB01816	O[C@H]1[C@H](O)[C@@H](O)CN2CC[C@H](O)[C@H]12
DB01817	C[C@@H](O[C@@H](O)C[C@H](N)C(=O)O)[C@H](N)C(=O)O
DB01818	O=S(=O)(O)O[C@@H]1[C@@H](O)[C@H](O)O[C@H](CO)[C@@H]1O
DB01819	C=C(OP(=O)(O)O)C(=O)O
DB01820	CCCCCNC(=O)[C@H](Cc1ccc(N(C(=O)C(=O)O)c2ccccc2C(=O)O)c2ccccc12)NC(C)=O
DB01821	N=C(NCCC[C@H](N)C(=O)N[C@@H](CCN)C(N)=O)N[N+](=O)[O-]
DB01822	O[C@H]1CSSC[C@@H]1O
DB01823	O=C1NC(=O)[C@]2(N1)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O
DB01824	N[C@@H](O)O[C@@H]1Cc2ccccc2[C@@H]1[C@@H]1CN[C@@](Cc2ccccc2)(CC(O)C(Cc2ccccc2)NC(=O)O[C@H]2CCOC2)C1=O
DB01825	Cc1cccc2c(=O)nc(N)[nH]c12
DB01826	[C-]#[N+]CCCC
DB01827	COc1c(F)c(F)c(C(N)=O)c(F)c1F
DB01828	CN
DB01829	CCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
DB01830	CC(=O)N[C@@H](Cc1ccc(P(=O)(O)O)c(P(=O)(O)O)c1)C(=O)N[C@H]1CCCCc2cc(OCC3CCCCC3)c(C(N)=O)cc21
DB01831	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OC(=O)[C@@H](N)Cc2c[nH]c3ccccc23)[C@@H](O)[C@H]1O
DB01832	C[P@](=O)(O)CC(=O)CC(=O)O
DB01833	N=C(N)NOCC[C@H](N)C(=O)O
DB01834	N[C@@H](CCC(=O)N[C@@H](CS[C@@H]1c2ccccc2-c2ccccc2[C@H]1O)C(=O)NCC(=O)O)C(=O)O
DB01835	C/C(N)=N\CC[C@H](F)C[C@H](N)C(=O)O
DB01836	O=C(C1CCN(c2ccncc2)CC1)N1CCN(S(=O)(=O)c2ccc3cc(Cl)ccc3c2)CC1
DB01837	CC(=O)OC[C@H](N)C(=O)O
DB01838	Cc1c(-c2cc(Br)c(O)c(Br)c2)oc2ccc(O)cc2c1=O
DB01839	CC(O)CO
DB01840	O=P(O)(O)/C=C/[C@@H](O)[C@@H](O)[C@H](O)CCO
DB01841	C[C@@H]1C[C@H](O)[C@@H](O)[C@@H](O)O1
DB01842	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O
DB01843	NN1C(=O)N[C@@]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O
DB01844	CN(C)C=O
DB01846	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSO
DB01847	CC(C)[C@@H](NC(N)=O)C(=O)O
DB01851	CCCC[N+](CCCC)(CCCC)CCCC
DB01852	O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
DB01854	NC(=O)c1cncc(Br)c1
DB01856	O=C(O)CCCCCC(=O)O
DB01857	N[C@@H](CC(=O)OP(=O)(O)O)C(=O)O
DB01858	CCCC[C@H](NC(=O)OCC1(Cc2ccc(F)cc2)CCC1)C(=O)C(=O)Nc1ccn[nH]1
DB01859	C[C@@](CO)(OP(=O)(O)O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O
DB01860	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C[C@H]1O
DB01861	O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
DB01862	CC(C)S[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
DB01863	O=P(O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O
DB01864	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(O)(O)=S)[C@@H](O)[C@H]2O)c(=O)[nH]1
DB01865	CN(Cc1cc2ccccc2n1C)C(=O)/C=C/c1ccc(N)nc1
DB01866	O=C(O)[C@@H](c1ccccc1)S(=O)(=O)O
DB01868	C[C@@H](N=C([O-])CCCC[C@H](N=C(O)CN)C(=O)O)P(=O)(O)O
DB01870	OC[C@H]1O[C@H](S)[C@H](O)[C@@H](O)[C@@H]1S
DB01871	O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CO)OCc1ccccc1
DB01872	CC(=O)N[C@@H]1[C@@H](O)[C@@H](OS(=O)(=O)O)[C@@H](CO)O[C@H]1O
DB01873	C/C1=C/C[C@@H](/C(C)=C/c2csc(C)n2)OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)CCC1
DB01875	O=c1[nH]c(=O)c2[nH]nnc2[nH]1
DB01876	N=C(N)c1ccc2[nH]c(C(=O)c3nc4ccc(C(=N)N)cc4[nH]3)nc2c1
DB01877	CON[C@H]1C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(OC)cc2)C1
DB01878	O=C(c1ccccc1)c1ccccc1
DB01879	CN(C(=O)c1cc(OS(=O)(=O)c2ccc3ccccc3c2)ccc1NS(=O)(=O)c1ccc2ccccc2c1)[C@@H](CC(=O)O)C(=O)O
DB01880	O=C(O)/C=C/c1ccc(O)c(O)c1
DB01881	C[C@H](O)C[C@](C)(O)CO
DB01882	CSCC[C@H](N)C(O)(O)c1ccccn1
DB01883	CSCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CS)C(N)=O
DB01884	CC(C)[C@H](N)C(=O)N1CCCC1
DB01885	O=C1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
DB01887	O=C(N[C@@H]1CO[C@H](CO)C1)[C@H](OCc1ccccc1)[C@H](O)[C@@H](O)[C@@H](OCc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
DB01888	CC(C)c1cnn2c(Nc3ccc(S(=O)(=O)N(C)C)cc3)cc(N[C@H]3CC[C@H](N)CC3)nc12
DB01889	C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C=CC[C@@H]12
DB01890	C[C@H](CCC(=O)N(CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
DB01891	CC(C)[C@H](NC(=O)[C@H](C)NC(=O)OCc1ccccc1)C(=O)N[C@H](CO)Cc1ccccc1
DB01892	CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@]2(CC=C(C)C)C(=O)C(CC=C(C)C)=C(O)[C@@]1(C(=O)C(C)C)C2=O
DB01893	O=P(O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(NCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O
DB01895	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OC(=O)[C@@H](N)CC(=O)O)[C@@H](O)[C@H]1O
DB01896	Nc1cccc(B(O)O)c1
DB01897	O=c1[nH][nH]c(=O)c2cc(-[n+]3nc(/C=C/c4ccccc4)nn3-c3nc4ccccc4s3)ccc12
DB01899	N[C@@H](Cc1c[nH+]cn1P(=O)(O)O)C(=O)O
DB01901	O=S(=O)(O)OC[C@H]1O[C@@](COS(=O)(=O)O)(O[C@H]2O[C@H](COS(=O)(=O)O)[C@@H](OS(=O)(=O)O)[C@H](OS(=O)(=O)O)[C@H]2OS(=O)(=O)O)[C@@H](OS(=O)(=O)O)[C@@H]1OS(=O)(=O)O
DB01902	CCN1C(=O)CCC1=O
DB01903	O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)cc1Br
DB01905	COc1ccc(O)c(-c2nc3cc(C(N)=[NH2+])ccc3[nH]2)c1
DB01906	Nc1nc(O)c2nn(-c3cccc(C(=O)O)c3)nc2n1
DB01908	CC(=O)N[C@@H](Cc1ccc(OCC(=O)O)c(P(=O)(O)O)c1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3ccccc3)cc2)C1=O
DB01909	OC[C@H]1O[C@@H]2O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O[C@H]6[C@H](O)[C@@H](O)[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@@H](O[C@H]1[C@H](O)[C@H]2O)O[C@@H]7CO)O[C@@H]6CO)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO
DB01910	Nc1ncnc2c1ncn2[C@@H]1O[C@H](C[C@@H](N)CC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
DB01911	CCC1=C(C)c2cc3c(CC)c(C)c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)O)C(CCC(=O)O)=C4C)n3C
DB01914	O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
DB01915	N[C@@H](CSO)C(=O)O
DB01917	NCCCCN
DB01918	C[Te]CC(=O)[O-]
DB01919	CCCCC=O
DB01920	O=[N+]([O-])c1ccccc1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
DB01921	ONC1=NC[C@@H](O)[C@H](O)[C@H]1O
DB01922	OC[C@H]1N=C(NO)[C@H](O)[C@@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
DB01923	O=C(CO)[C@H](O)[C@@H](O)COP(=O)(O)O
DB01925	Oc1cccc(-c2ccccc2Cl)c1O
DB01926	C[C@H]1C[C@H](O)N[C@@H]2CCCCN(O[Fe@@]34Oc5ccccc5C5=N[C@H](CO5)C(=O)N[C@@H](CCCC[N@](O3)[C@H](/C=C/CCCCCCC(=O)O)O4)C(=O)O1)C2=O
DB01927	CC1=C(C)C(=O)C(C)=C(C)C1=O
DB01930	CC(C)(CO)[C@@H](O)C(=O)[O-]
DB01931	O=C(O)c1cc(O)c2c(Cl)cc(Cl)cc2n1
DB01932	Cc1cc[nH]c1
DB01933	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@@H]4O
DB01934	CC(C)CCCCCCCCC(=O)N(C)[C@H](CO)C(=O)N[C@H](C)C(=O)NCC(=O)N(C)[C@@H]1C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)O)Cc2ccc(O)c(c2)-c2cc1ccc2O
DB01935	O=C(O)CC(=O)N[C@@H](CS)Cc1ccccc1
DB01936	OC[C@H]1O[C@H](O)[C@@H](O)[C@@H]1O
DB01937	Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2OP(=O)(O)O)c(=O)[nH]1
DB01938	N[C@H](Cc1cnc[nH]1)C(=O)Nc1ccc2ccccc2c1
DB01939	NC(=[NH2+])c1ccc2nc[nH]c2c1
DB01940	O=C(N[C@@H]1CNCCC[C@H]1OC(=O)c1ccc(C(=O)c2ccccc2O)cc1)c1ccc(O)cc1
DB01941	Cc1cc2c(cc1C1(c3ccc(C(=O)O)cn3)CC1)C(C)(C)CCC2(C)C
DB01942	O=CO
DB01944	Cc1ccc2c(c1)C(=O)[C@]1(O)CCN(c3ccccc3)C1=N2
DB01946	Cn1cc(C2=C(c3cn(CCCN)c4ccccc34)C(=O)NC2=O)c2ccccc21
DB01947	O=Cc1ccccc1OP(=O)(O)O
DB01948	O=C1CCc2c(-c3ccc(F)cc3F)cc(C3CCNCC3)cc2N1c1c(Cl)cccc1Cl
DB01949	CNC(=O)[C@@H](N)C(C)(C)C
DB01950	COc1ccc(CNC(=O)Nc2ncc([N+](=O)[O-])s2)cc1
DB01951	CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)OCCCc1cccnc1
DB01952	c1cn2cnc3[nH]cnc3c2n1
DB01953	c1ccc2c(CCc3ccncc3)c[nH]c2c1
DB01954	COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1
DB01955	OCCCCO
DB01956	NCCS(=O)(=O)O
DB01957	Oc1cccc(Cl)c1
DB01958	CC(C)(C)c1ccc(Sc2cccc3nc(N)nc(N)c23)cc1
DB01959	CCOC(=O)c1c(C)nn(-c2cccc([N+](=O)[O-])c2)c1C
DB01960	CN1CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21
DB01961	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](OP(=O)(O)O)[C@H]2O)c(=O)n1
DB01962	N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)O
DB01963	OB(O)CCc1ccccc1
DB01964	COc1ccc(N2C[C@H](O)c3cc(S(N)(=O)=O)sc3S2(=O)=O)cc1
DB01965	O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)NP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1
DB01966	CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](CO[P@@](=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCCCCC
DB01967	CC(C)S(=O)(=O)NCCCn1c2c(c3ccccc31)C(=O)CN1CCCC[C@@H]21
DB01968	N/C=C\S
DB01969	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSCC(=O)C(F)(F)F
DB01970	CCCCCCCCC(=O)N(CCO)C[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](O)CO
DB01971	O=C(O)/C=C/c1c[nH]cn1
DB01972	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
DB01973	N[C@@H](COS(=O)(=O)Cc1ccccc1)C(=O)O
DB01975	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)OC[C@H]2O[C@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
DB01977	N=C(N)c1ccc2cc(C(=O)Nc3ccccc3)ccc2c1
DB01978	Cn1c[n+](C)c2c1N[C@@H](N)N[C@H]2O
DB01979	CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O
DB01980	N[C@H](Cc1ccc(I)cc1)C(=O)NO
DB01981	O=S(=O)(O)O[C@@H]1[C@H]2OC[C@@H](O[C@@H]1O)[C@@H]2O
DB01982	O=C(O)[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O
DB01983	N[C@@H](CCCC[B-](O)(O)O)C(=O)O
DB01985	CC(=O)N[C@@H](CCCNC(=N)N)C(=O)O
DB01986	Cc1c(N)cccc1F
DB01987	Cc1ncc(C[n+]2csc(CCO[P@@](=O)(O)O[P@@](=O)([O-])O)c2C)c(N)n1
DB01988	c1ccc(C[C@H]2CN(c3cc(-c4ccncc4)c(-c4ccc5ccccc5c4)nn3)CCN2)cc1
DB01989	COC(=O)[C@@H]1CCCN1C(=O)[C@H](C)NP(=O)(O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@@H]1CCCN1C(=O)OCc1ccccc1
DB01990	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C
DB01991	CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](CC(=O)NO)CO[C@H](CO)[C@H]1O
DB01992	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS
DB01993	Cc1ncc(COP(=O)(O)O)c(CN[C@H](C)C(=O)O)c1O
DB01996	Cc1cccnc1
DB01997	O=[N+]([O-])c1cccc2c(Br)n[nH]c12
DB01998	CCCCCCC[C@@H](O)C[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
DB02001	Nc1nc(N)c2c(Sc3ccc(N4CCOCC4)cc3)cccc2n1
DB02004	COc1cc(OC)cc(-c2nc(N)c(CN)c(-c3ccc(Cl)cc3Cl)n2)c1
DB02005	C/C=C\C(=O)C(=O)O
DB02007	O=P(O)(O)OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
DB02008	CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(NC(C)=O)cc3)nc21
DB02009	CC(C)(C)NC(=O)[C@@H]1CN(Cc2cc3ccccc3o2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
DB02010	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
DB02011	N[C@@H](CCCNC(=O)CP(=O)(O)O)C(=O)O
DB02014	COC(=O)c1c(O)cccc1OC/C=C/c1ccc(F)c(-c2cc(C(=O)O)no2)c1
DB02015	Nc1nc2c(c(=O)[nH]1)N=C(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2
DB02016	C=CCN(C)CCCCCCOc1ccc(C(=O)c2ccc(Br)cc2)c(F)c1
DB02017	OC[C@@H]1[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)c2nccn21
DB02018	N=C(N)c1ccc(CC(=O)C(=O)O)cc1
DB02019	O=C(O)Cc1ccc2c(c1O)C(=O)c1c(O)cccc1C2
DB02020	O=C(O)CN1C(=O)c2cccc3cccc(c23)C1=O
DB02021	NC(=O)[C@@H]1C[C@]2(NC(=O)NC2=O)c2cc(F)ccc2O1
DB02022	Cc1ncc(CO)c(N)n1
DB02023	Nc1nc2c([nH]c(=O)n2[C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]1
DB02024	O=C(O)CCc1ccccc1
DB02026	CN(Cc1coc2nc(N)nc(N)c12)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
DB02027	N=C(NCCC[C@H](N)CNCCN)N[N+](=O)[O-]
DB02028	O=C(CO)COP(=O)(O)OC1[C@H](O)[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O
DB02029	O=C(Nc1ccc(I)cc1)NC1CCCCC1
DB02030	Cc1cc2ncn([C@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2cc1C
DB02031	Nc1nc2c(c(=O)[nH]1)N[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2
DB02032	C[C@@H](CS)C(=O)N1CCC[C@H]1C(=O)O
DB02033	O=c1oc2c(c(O)c1[C@H](c1cccc(NS(=O)(=O)c3ccccc3)c1)C1CC1)CCCCCC2
DB02034	O[C@H]1[C@H]2[C@H](O)CCCN2C[C@H]1O
DB02035	CCCCCCCCCCCCCCCCS(=O)(=O)F
DB02036	O=C(C[C@H]1Sc2ccccc2NC1=O)NO
DB02038	Cc1ncc(COP(=O)(O)O)c(CN[C@@H]2CONC2=O)c1O
DB02039	CC(=O)SC[C@H](N)C(=O)O
DB02041	Nc1ccc2c(=O)[nH][nH]c(=O)c2c1
DB02042	COCCOCCOCCOCCOCCO
DB02043	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)CO)OC(=O)CCCCCCCCCCCCCCC
DB02044	CC(=N)NCc1cccc(CN)c1
DB02045	CCCCCN
DB02046	CC(C)C[C@H](NC(=O)c1ccco1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)P(=O)(O)O
DB02047	C[C@H](C(=O)O)c1ccc(-c2ccccc2)cc1
DB02048	NC(=[NH2+])n1cncn1
DB02049	O=C(CC1(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCOCC1)NO
DB02051	O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCc1ccccc1)CCS(=O)(=O)Oc1ccc([N+](=O)[O-])cc1)OCc1ccccc1
DB02052	O=C1Nc2ccccc2/C1=C1/Nc2ccccc2/C1=N\O
DB02053	O=C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
DB02054	Nc1cccc(C(=O)O)c1
